#hotel#
1 am looking for a place to to stay that has cheap price range it should be in a type of hotel	okay do you have a specific area you want to stay in ?
2 no i just need to make sure it s cheap oh and i need parking	i found 1 cheap hotel for you that includes parking do you like me to book it ?
3 yes please 6 people 3 nights starting on tuesday	i am sorry but i wasn t able to book that for you for tuesday is there another day you would like to stay or perhaps a shorter stay ?
4 how about only 2 nights	booking was successful reference number is : 7gawk763 anything else i can do for you ?
5 no that will be all good bye	thank you for using our services

#hotel#
1 i need a place to stay in the north please	there are 13 places to stay in the north do you have any other criteria ?
2 i don t want to have to pay for parking	i have 5 different gueshouses listed for what day and for how many please ?
3 for 3 people starting on wednesday and staying 2 nights	there are 11 hotels available actually would you like to narrow it to a specific price range or star rating ?
4 just a guesthouse in the north with free parking i ll need a reference number then too please	i was able to get you in at archway house your reference number is wumuz0jx can i help you with anything else ?
5 that s all i need today thanks ! bye !	thank you for using our system !

#restaurant#
1 i am looking for a particular restaurant it is called pizza hut city centre	it s a cheap italian place in the centre at regent street city centre cb21ab the phone number is 01223323737 would you like more info ?
2 that sounds like just the place ! can you book me a table for 2 at 19:45 on thursday ?	you re all set i ve got a table for 2 at 19:45 this thursday your reference number is f3k2pqzz
3 ok sounds good thank you !	you are welcome is there anything else i can assist you with today ?
4 that is all thank you for your help !	you re welcome have a great day

#restaurant#
1 i am looking for an expensive italian restaurant	there is an expensive italian restaurant named frankie and bennys at cambridge leisure park clifton way cherry hinton would you like to go there or choose another ?
2 great yeah that sounds great can you book a table for 5 people at 11:30 on sunday ?	unfortunately there are no tables available please try another day or time slot
3 how about 10:30 on sunday ? and may i have a reference number ?	i was able to book a table for 5 at 10:30 on sunday your reference number is mbc9e6al is there anything else i can help you with today ?
4 no that is all thank you so much for your help	you re welcome good-bye

#train#
1 i am looking for a train departing from london liverpool please	i ll be glad to help you would like to from london liverpool street to what destination please ?
2 cambridge i d like to leave after 10:00 on friday	i have seven trains could you tell me when you would like to arrive by ?
3 just any time after 10:00 can i get the train id of one of them please ?	tr7943 leaves at 11:39
4 thank you very much ! that is all i need for today	have a great day !

#hotel#
1 i am looking for a particular hotel its name is called autumn house	i have the autumn house it is at 710 newmarket road would you like the phone number ?
2 no thanks would you book the autumn house for me starting on monday please	how many people would be staying and how many days will you be staying ?
3 that s for 8 people and it s for 2 nights	i m sorry your booking was unsuccessful would you like to book another day or a shorter stay ?
4 could you try wednesday instead ?	booking was successful reference number is : 3h0whd4z
5 thank you goodbye	you re welcome thank you for calling and goodbye

#hotel#
1 i m looking for a hotel to stay at in the centre can you look this up for me ?	there are three hotels in the center of town do you prefer something moderate or expensive ?
2 not in terms of that but do they have free parking and have a 3 star rating ?	the gonville hotel has 3 stars and parking and the university arms hotel has 4 stars and parking they are both expensive would you like more details ?
3 okay i d like to book a room at the gonville hotel for 4 nights there will be 6 people and we will be arriving on saturday	i m sorry there are no rooms available for that length of stay could you shorten your stay or book a different day possibly ?
4 yes what about 2 nights instead of 4 ?	sure that worked you have booked 2 nights and your reference number is ru89u6v8 can i be of further help today ?
5 no that looks like everything thanks bye	you re welcome enjoy your stay !

#attraction#
1 can you please help me find a place to go ?	i ve found 79 places for you to go do you have any specific ideas in mind ?
2 i d like a sports place in the centre please	there are no results matching your query can i try a different area or type ?
3 okay are there any cinemas in the centre ?	we have vue cinema
4 okay that will work can you please tell me their phone number postcode and the entrance fee ?	vue can be reached at 08712240240 the postcode is cb11ps i do not have entrance fee information i m sorry
5 no worries i ll give them a call and find out thanks so much for all your help goodbye	you re welcome good bye

#train#
1 am looking for a train,it should go to cambridge and should depart from norwich	what time and day are you looking to travel ?
2 yes i would like travel on monday and i would need to arrive by 08:30	trainid tr9020 leaves norwich on monday and arrives in cambridge at 06:35
3 what is the price for the train ?	the cost will be 17.60 pounds would you like more information about that ?
4 what time does the train leave ?	it leaves at 05:16
5 thanks that s all good bye	goodbye and thanks for using the help desk

#hotel#
1 hello i am looking for a four star hotel on the north side	i have eight results do you need free parking ?
2 not really and i m not really concerned with wifi either which one do you recommend ?	how about acorn guest house ? it s located at 154 chesterton road
3 what is the hotel s rating ?	it is rated 4 stars
4 actually could you double check whether the acorn has free wifi ?	yes it does would you like me to make a reservation for you ?
5 yes please do i ll be arriving thursday they ll be 6 of us and we d like to stay for 4 nights	yes it does
6 ok can you please pay attention to my questions ? i need a room please	sorry about that ! you are booked at the acorn for 4 nights starting thursday ref #zuc5szap can i be of any further assistance today ?
7 no that will be all thanks !	let us know if you need anything elsecheers

#hotel#
1 could you help me find the cambridge belfry ?	the cambridge belfry is a cheap hotel the address is back lane cambourne and the phone number is cb236bw
2 thank you can you book it for me ?	of course when would you like to stay ?
3 i would like to check in on saturday for 2 nights there will be 4 of us	your reservation was successfully made the reference number is pj9d98by can i help you with anything else ?
4 nope that s all i needed thank you	thank you if you need anything else let me know.good bye

#restaurant#
1 i need the address of an expensive restaurant in the east part of town	would you prefer british indian or chinese food or a gastropub ?
2 i don t have a preference	the grafton hotel restaurant serves british food is in the east part of town and is in the expensive price range would you like their location ?
3 yes please give me their address	their address is grafton hotel 619 newmarket road fen ditton
4 thank you goodbye	you re welcome goodbye !

#restaurant#
1 i want to find a cheap restaurant in the north part of town what is the address and food ?	da vinci pizzeria serves italian food and is located at 20 milton road chesterton or royal spice serves indian food and is on victoria avenue chesterton
2 thank you	thank you goodbye

#train#
1 i d like to find a train that leaves monday and arrives by 19:00	very well where are you traveling from and to where ?
2 i am departing from birmingham new street going to cambridge	i have a train that departs at 15:40 and arrives in cambridge at 18:23 will that do ?
3 that would work just fine could you tell me the price and travel time for that train ?	the tr5385 has a travel time of 163 minutes would you like me to book you some tickets ?
4 no i don t want to book today could you just give me the price for that train ? i think that is all i need today	sure the price of those tickets are 75.10 pounds each
5 great ! that s all i need thank you for your help	thank you for using cambridge towninfo centre have a wonderful day !

#train#
1 i need a train that leaves on sunday for broxbourne	i have 19 trains going to broxbourne on sunday to help narrow it down where would you like to depart from and what time ?
2 i want it to leave from cambridge after 09:15	let me look up those times for you one minute
3 not looking to book can i just get the train id price and travel time ? thanks !	i m sorry i m not finding that fits those criteria is there a different time you could leave ?
4 there are no trains going to broxbourne from cambridge on sunday after 09:15 ?	no i m sorry it doesn t appear that those trains run on sundays is there a different day you could travel ? also will you leave from broxbourne or cambridge ?
5 i need to go to broxbourne from cambridge on sunday leaving any time after 9:15 please check again with those details please	i m terribly sorry -- you are correct there are trains every hour at one minute past there is a 10:01 train on sunday for example travel time is 60 minutes
6 great what s the train id and price ?	the trainid is tr9580 which leaves at 10:01 the price from cambridge to broxbourne is 14.32 pounds do you need additional information ?
7 yes what is the duration of the train ride ?	the duration is six minutes can i get you a ticket ?
8 no that s all right	let us know if you need anything else

#attraction#
1 someone told me about a place called old schools it s supposed to be some kind of attraction can you tell me anything about it ?	old schools is an architecture museum in the centre area the admission is free would you like tickets ?
2 yes please that would be great	i just checked and it is free the address is trinity lane and the phone number is 01223332320 can i help you with anything else ?
3 no that is all for today thanks so much !	you re welcome ! have a great day !

#attraction#
1 hello i m looking for the museum of classical archaeology could you tell me more about it ?	certainly the museum of classical archaeology is located at sidgwick avenue and has free entrance phone 01223335153 do you also need the postcode ?
2 yes i d like that thank you so much !	the postcode for the museum of classical archaeology is cb39da is there anything else i can help you with ?
3 no you ve been very helpful thank you bye	you re welcome goodbye

#restaurant#
1 hi i want an expensive restaurant east part of town please	royal standard is a gastropub in east is this ok ?
2 is there any other expensive restaurant in east ?	yes there are four other options what kind of food would you like ?
3 it doesn t matter just not gastropub	may i recommend the grafton hotel restaurant then ? they re very british very expensive and located in the east part of town
4 that sounds like something i would enjoy could you give me the address and phone number ?	certainly the grafton hotel restaurant is at 619 newmarket road fen ditton and the number there is 01223 241387 can i be of further assistance ?
5 thank you goodbye	have a nice day ! goodbye

#restaurant#
1 i m looking for a moderately priced polish food restaurant	i m sorry but there aren t any moderately priced polish restaurants should i check other price ranges or a different type of food ?
2 yes can you please check for a turkish restaurant ?	there are two results anatolia restaurant and efes restaurant both server turkish food in the moderate price range is there anything else i can help you with ?
3 may i have the address for anatolia ?	yes the address for anatolia is 30 bridge street city centre
4 thank you	thank you

#restaurant#
1 i am looking for a cheap restaurant in the centre of town	there are several options available in the town centre is there a particular cuisine that you would prefer ? asian chinese indian italian mediterranean modern european portuguese or spanish ?
2 i want a restaurant that serves molecular gastronomy food	unfortunately i don t happen to have a listing that matches your request would you like me to try a different price range or cuisine style ?
3 are there any chinese restaurants ?	yes there are 3 chinese restaurants that are in the cheap price range i would recommend the golden house would you like for me to book you a table ?
4 yes please book it for around 20:00 for 3 people	what day would you like to book ?
5 actually scratch that i don t want to book the restaurant could you give me the phone number for the golden house ?	their phone number is 01842753771 is there anything else i can help you with ?
6 can you give me the address and postcode as well ?	the golden house is located at 12 lensfield road city centre their postcode is cb21eg can i help you with anything else ?
7 no that s it thanks a bunch	you re welcome enjoy your meal !

#hotel#
1 hi i am looking for some info on the worth house hotel	the worth house hotel is a cheap 4 star guesthouse in the north it provides parking and internet the address is 152 chesterton road postcode cb41da the phone number is 01223316074
2 thank you so much !	you re welcome can i make a reservation for you ?
3 i m not ready to book but i appreciate your help thanks !	you re welcome ! don t hesitate to call if you d like to make a reservation later

#hotel#
1 i would like to know more about rosa s b&b	sure rosa s is located on the south side of town is in the cheap price range and is rated 4 stars
2 okay great can you book me a room for 7 people and 3 nights starting from saturday ?	i m sorry rosa s does not have rooms available for those days would you like to try a different hotel ?
3 yes do you have a different cheap hotel available ?	i have none in the same area would a different are be okay ?
4 just please can you find a place in the same price range i ll need a reference number please	alexander bed and breakfast was able to be booked reference number is a36615hd
5 thank you so much !	thank you for using our system !

#hotel#
1 good afternoon can you help me find an expensive place to stay in the town centre ?	i sure can i found a 3 star hotel and a 4 star hotel do you have a preference ?
2 it should be a hotel type hotel not a guesthouse	how about the gonville hotel located in the centre of town is in the expensive price range ?
3 yes that sounds good could you reserve a room for 5 people checking in on saturday ? i think we ll stay for 3 nights	booking was successful reference number is : krjnyv0q
4 great thank you for your help	you are very welcome ! is there anything else i can help you with ?
5 no that will be all thank you	thank you good day to you

#train#
1 i am looking for a train the train should leave on tuesday and should depart from peterborough	there are several trains that meet that criteria what destination are you looking for ?
2 i need to leave from peterborough	how about tr5042 that arrives at 05:19 ?
3 i d like to arrive by 10:45 do you have something close to that time ?	there are several trains that meet that criteria what time would you like to depart ?
4 departure time doesn t matter just want to arrive by 10:45 so whatever is closest to that arrival time	great i have a train that meets your criteria would you like me to book it for you ?
5 wait does this train go to cambridge ? that s my destination	yes i have a train that arrives at cambridge on tuesday at 10:38 would you like me to book that for you ?
6 yes please book it	i d be happy to help with your request how many tickets do you need ?
7 just one please	booking was successful the total fee is 16.5 gbp payable at the station reference number is : ormu35ru
8 i didn t actually need to reserve a seat could you comfirm the departure time of that train ?	tr9620 leaves at 09:48 do you need anything else ?
9 no that s all i need for now thanks !	you re welcome have a safe trip !

#attraction#
1 i m looking for a place in the centre of town that is a nightclub	there are 5 nightclubs in the centre area the one with the lowest entrance fee is soul tree nightclub which is 4 pounds to get in
2 that sounds like it will work can i get their address and postcode ?	of course ! they re located at 1-6 corn exchange street with postcode cb23qf anything else i can do for you ?
3 no that s all i need today thank you for your help !	you are welcome ! have fun ! goodbye !

#restaurant#
1 i am looking for a danish restaurant	there are no danish restaurants listed may i direct you toward another restaurant ?
2 how about north american food ?	there is one listing for north american food gourmet burger kitchen in centre part of town
3 what is their phone number and postcode ?	postcode: c.b 2 1 a.b phone number is 01223 312598
4 is there anything else ?	that is the only restaurant serving north american food
5 could you give me the phone number and postcode ?	the phone number is 01223 312598 and postcode is c.b 2 1 a.b
6 thank you good bye	thank you for using our service good bye

#restaurant#
1 is there a restaurant on the north side of town ?	there are several restaurants in the north part of town do you have a preference of price range or type of food ?
2 i don t care	city stop restaurant is an expensive restaurant on the north side of town
3 i would like a restaurant serving swedish food in the north part of town	i m sorry but there are no swedish serving restaurants in that area would you like to expand your search ?
4 how about indian food ?	the royal spice restaurant has a cheap price range
5 what is the address phone number and price range ?	it s address is victoria avenue chesterton and phone number is 01733 553355
6 thank you goodbye	good bye

#restaurant#
1 i am looking for a restaurant serving persian food	do you have a specific area in mind ?
2 it doesn t matter	no restaurants serving persian food have been found
3 can i have an european restaurant instead ?	cambridge lodge restaurant is in the west part of town and it is serving european food is there anything else i can help you with ?
4 i need the address and phone number	the address of cambridge lodge restaurant is cambridge lodge hotel 139 huntingdon road city centre and the phone number is 01223 355166 may i help you with anything else ?
5 no that does it thank you and goodbye !	thank you for using our system good bye

#train#
1 i need to book a train from cambridge and norwich on wednesday and i need to be there at 15:30	when would you like to leave by ?
2 i don t care when i leave as long as i get there by 15:30	there are 9 trains matching your query shall i book one ?
3 can i get the departure and travel time of the train arriving closest to 15:30 ?	the travel time is 79 minutes
4 and the departure time please ? for the train that arrives closest to 15:30 ?	the departure time is 13:38 and it arrives at 14:55 would you like me to book it for you ?
5 no thank you and that is all i needed	thank you have a nice day goodbye

#train#
1 i need a train to birmingham new street that arrives by 8:00	where are you departing from ?
2 i am leaving from cambridge on tuesday	okay i ve got a training leaving at 5:01 and arriving by 07:44 will that be good ?
3 perfect i d like 8 tickets please	okay i have booked you 8 tickets on this train your reference number is e4459ytn is there anything else ?
4 okay thank you for your help that is all i believe	sure glad to have helped

#train#
1 i am looking for a train to go to london kings cross	there are several available option to travel to kings cross today what time would you like to travel ?
2 i need to travel after 9am	there are 56 trains how does the tr2000 train that leaves at 9 am sound ?
3 that will be ok thank you for your help	can i look up anything else for you ?
4 that s on wednesday right ?	no that s on friday actually on wednesday i have tr6583 departing cambridge at 9:00 going to london king s cross will that work for you ?
5 okay very good what s the train id on that please ?	tr6583 would you like for me to get you tickets ?
6 yes please book that train for me	sure will you be traveling alone ?
7 yes it s just going to be me	i ve booked you a ticket the fee is 23.6 gbp payable at the station the reference number is 3xi4v3c1 is there anything else i can assist with ?
8 no that s all thank you	thanks for your service
9 have a nice day	have a great day let me know if you need any other help
10 i will thanks again !	you re welcome please call us again if you need anything else

#restaurant#
1 i am looking for a restaurant the restaurant should be in the centre and should serve persian food	i am sorry there are no person food eateries in the centre would you like to find a different type of food ?
2 yes i am looking for a moderate price range	i m sorry we have no persian restaurants in the centre
3 what about modern european foods ?	riverside brasserie looks good would you like a reservation ?
4 yes i want a reservation for 8 people at 16:00 on sunday	sorry the restaurant doesn t have any openings for that date and time
5 ok ill check latter	alright have a good day

#restaurant#
1 i want to find a cheap restaurant in the south part of town	the lucky star is an inexpensive chinese restaurant in the south part of town
2 are there any other places ?	nandos is a cheap portuguese restaurant in the south would you like their information ?
3 sorry what is the food type of that restaurant ?	they serve portuguese food
4 what is the price range ?	they are in the cheap price range
5 that sounds yummy what is their address and phone number ?	nandos s address is cambridge leisure park clifton way and the phone number is 01223 327908 is there anything else i can help you with ?
6 no thank you bye bye !	you re welcome goodbye

#restaurant#
1 is it possible to get any greek food in the centre part of town ?	sorry i m showing no results for greek restaurants any other foods you d like to have ?
2 what about chinese food ?	charlie chan has some great reviews
3 book a table for 8 people at 19:00 on wednesday	your booking was successful the table will be reserved for 15 minutes reference number is : 1j6y65lw
4 thanks that s all good bye	thank you for using our services

#restaurant#
1 i am looking for a cheap restaurant with chinese food	there are several cheap chinese restaurants would you prefer any certain area of town ?
2 south part of town	the lucky star is the only cheap chinese restaurant in the south part of town would you like any contact information ?
3 yes what is their phone number and address ?	the lucky star restaurant is on cambridge leisure park clifton way cherry hinton and can be reached by phone at 01223 244277
4 excellent thanks a lot i think that s everything i need	thank you for choosing our system good bye

#restaurant#
1 i am looking for a restaurant in the south part of town that serves jamaican food	i m sorry but i cannot find any jamaican restaurant located in the south
2 are there ant jamaican restaurants in any part of town ?	unfortunately there are not would you be interested in a different cuisine ?
3 how about portuguese food instead ?	nandos is located on the south side at cambridge leisure park clifton way and the phone number is 01223 327908
4 awesome thank you !	thank you goodbye

#train#
1 hello i d like to find a train to cambridge on thursday please	and where will you be leaving from ?
2 i would like to leave from stansted airport after 11:45	i can book you on train tr9775 leaving stansted airport going to cambridge thursday at 12:24 will that work ?
3 how much does it cost and when does it arrive ?	it arrives at 12:52 and costs 10.10 pounds would you like a booking ?
4 not at this time thank you	ok is there anything else i can help you with today ?
5 nope that s all i need thanks !	thank you and have a great day !

#restaurant#
1 is there a cheap swedish restaurant in town ?	there are no restaurants matching those preferences would you like a different restaurant ?
2 how about one serving mediterranean food ?	there is a cheap mediterranean restaurant in the centre area of town it is called the gardenia
3 that sounds good what is their phone number and postcode ?	the gardenia is in the postcode c.b 2 3 ll their phone number is 01223 356354
4 thank you !	your welcome is there anything i could help you with ?
5 thank you goodbye	goodbye

#restaurant#
1 i m looking for a moderately priced resturant in the centre of town	i found 21 restaurants available do you have a type of food you would prefer ?
2 i would like lebanese food	how does ali baba ? i recommend it would you like for me to book a table ?
3 yes i want to book a table for 3 people at 20:00 on thursday	great i have booked your table for ali baba thursday at 20:00 for 3 your reference number is 5ly9wsf1 may i help with anything else ?
4 no i think that s all i need thank you !	thank you for using the cambridge towninfo service and have a wonderful day !

#hotel#
1 i would like a four star hotel	i can help you with that is there a particular part of town you would like to stay in ?
2 no but i need it to have free parking and cheap	there are several like that would you like to book a room at rosa s bed and breakfast or perhaps one of the others ?
3 i m looking for a hotel type place to stay are any of those hotels ?	the cambridge belfry is a four star hotel in the cheap price range would you like me to book it for you ?
4 cambridge belfry sounds great can i get the reference number once you make that reservation ?	what day do you want to start your stay for how many days and how many people ?
